github_owner;github_repo;dependency;cpe_uuid;cpe_uri;creation_date;last_midication_date;deprecated;deprecated_by;part;vendor;product;version;update;edition;language;sw_edition;target_sw;target_hw;other
element-hq;element-android;0;3BC47A0A-0B0D-4620-852F-C848C3763C23;cpe:2.3:a:element:element:1.6.42:*:*:*:*:android:*:*;2025-10-14T12:17:49.937;2025-10-14T12:17:49.937;False;;a;element;element;1.6.42;*;*;*;*;android;*;*
element-hq;element-android;0;65D718FA-B00E-44AF-9C38-7F7354A5B4E4;cpe:2.3:a:element:element:1.6.40:*:*:*:*:android:*:*;2025-10-14T12:17:49.937;2025-10-14T12:17:49.937;False;;a;element;element;1.6.40;*;*;*;*;android;*;*
element-hq;element-android;0;D78A6BCB-1CBC-4929-BC82-ACC27D8DC184;cpe:2.3:a:element:element:1.6.38:*:*:*:*:android:*:*;2025-10-14T12:17:49.937;2025-10-14T12:17:49.937;False;;a;element;element;1.6.38;*;*;*;*;android;*;*
element-hq;element-android;0;D78A6BCB-1CBC-4929-BC82-ACC27D8DC184;cpe:2.3:a:element:element:1.6.38:*:*:*:*:android:*:*;2025-10-14T12:17:49.937;2025-10-14T12:17:49.937;False;;a;element;element;1.6.38;*;*;*;*;android;*;*
element-hq;element-android;0;CE056E9A-4F1C-4072-95A1-05DF08F0BFCE;cpe:2.3:a:element:element:1.6.36:*:*:*:*:android:*:*;2025-10-14T12:17:49.937;2025-10-14T12:17:49.937;False;;a;element;element;1.6.36;*;*;*;*;android;*;*
element-hq;element-android;0;B3160D5A-A7D0-4D8D-993D-677B0AFE4FC1;cpe:2.3:a:element:element:1.6.34:*:*:*:*:android:*:*;2025-10-14T12:17:49.937;2025-10-14T12:17:49.937;False;;a;element;element;1.6.34;*;*;*;*;android;*;*
element-hq;element-android;0;1AFEA3D1-E56A-4815-94D6-527346AE9246;cpe:2.3:a:element:element:1.6.32:*:*:*:*:android:*:*;2025-10-14T12:17:49.937;2025-10-14T12:17:49.937;False;;a;element;element;1.6.32;*;*;*;*;android;*;*
element-hq;element-android;0;0FCD390B-B27E-450B-BD01-9050CAF2F7DB;cpe:2.3:a:element:element:1.6.28:*:*:*:*:android:*:*;2025-02-13T19:19:51.453;2025-02-13T19:19:51.453;False;;a;element;element;1.6.28;*;*;*;*;android;*;*
element-hq;element-android;0;27632D14-FA75-4BDD-B12F-D462C6600AE8;cpe:2.3:a:element:element:1.6.26:*:*:*:*:android:*:*;2025-02-13T19:19:51.453;2025-02-13T19:19:51.453;False;;a;element;element;1.6.26;*;*;*;*;android;*;*
element-hq;element-android;0;842B8C6A-33EB-413B-ADCE-D3D101F329FC;cpe:2.3:a:element:element:1.6.24:*:*:*:*:android:*:*;2025-02-13T19:19:51.453;2025-02-13T19:19:51.453;False;;a;element;element;1.6.24;*;*;*;*;android;*;*
