id;github_owner;github_repo;dependency;commit_sha;commit_url;no_files;additions;deletions;changes
CVE-2025-27606;element-hq;element-android;0;53bd78b05de375c6e6b0b5aa794a56b4ba95984c;https://github.com/element-hq/element-android/commit/53bd78b05de375c6e6b0b5aa794a56b4ba95984c;1;1;1;2
CVE-2025-27606;element-hq;element-android;0;87d7fcdc8036a4db4da8c403f87c73a64a546304;https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304;4;19;2;21
CVE-2025-66622;matrix-org;matrix-rust-sdk;1;4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;3;107;7;114
CVE-2022-39252;matrix-org;matrix-rust-sdk;1;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;1;31;2;33
CVE-2022-39252;matrix-org;matrix-rust-sdk;1;41449d2cc360e347f5d4e1c154ec1e3185f11acd;https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd;1;60;4;64
CVE-2024-45191;matrix-org;olm;1;6d4b5b07887821a95b144091c8497d09d377f985;https://gitlab.matrix.org/matrix-org/olm/-/commit/6d4b5b07887821a95b144091c8497d09d377f985;;;;
CVE-2024-45192;matrix-org;olm;1;6d4b5b07887821a95b144091c8497d09d377f985;https://gitlab.matrix.org/matrix-org/olm/-/commit/6d4b5b07887821a95b144091c8497d09d377f985;;;;
CVE-2024-45193;matrix-org;olm;1;6d4b5b07887821a95b144091c8497d09d377f985;https://gitlab.matrix.org/matrix-org/olm/-/commit/6d4b5b07887821a95b144091c8497d09d377f985;;;;
CVE-2021-34813;matrix-org;olm;1;ccc0d122ee1b4d5e5ca4ec1432086be17d5f901b;https://gitlab.matrix.org/matrix-org/olm/-/commit/ccc0d122ee1b4d5e5ca4ec1432086be17d5f901b;;;;
CVE-2024-26132;element-hq;element-android;0;8f9695a9a8d944cb9b92568cbd76578c51d32e07;https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07;3;4;3;7
CVE-2024-26131;element-hq;element-android;0;53734255ec270b0814946350787393dfcaa2a5a9;https://github.com/element-hq/element-android/commit/53734255ec270b0814946350787393dfcaa2a5a9;2;20;0;20
CVE-2025-61672;element-hq;synapse;1;26aaaf9e48fff80cf67a20c691c75d670034b3c1;https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1;4;280;8;288
CVE-2025-61672;element-hq;synapse;1;7069636c2d6d1ef2022287addf3ed8b919ef2740;https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740;4;280;8;288
CVE-2024-31208;element-hq;synapse;1;55b0aa847a61774b6a3acdc4b177a20dc019f01a;https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a;4;117;104;221
CVE-2022-39257;matrix-org;matrix-ios-sdk;1;5ca86c328a5faaab429c240551cb9ca8f0f6262c;https://github.com/matrix-org/matrix-ios-sdk/commit/5ca86c328a5faaab429c240551cb9ca8f0f6262c;44;2396;199;2595
CVE-2022-39255;matrix-org;matrix-ios-sdk;1;5ca86c328a5faaab429c240551cb9ca8f0f6262c;https://github.com/matrix-org/matrix-ios-sdk/commit/5ca86c328a5faaab429c240551cb9ca8f0f6262c;44;2396;199;2595
CVE-2025-48937;matrix-org;matrix-rust-sdk;1;13c1d2048286bbabf5e7bc6b015aafee98f04d55;https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55;3;107;2;109
CVE-2025-48937;matrix-org;matrix-rust-sdk;1;56980745b4f27f7dc72ac296e6aa003e5d92a75b;https://github.com/matrix-org/matrix-rust-sdk/commit/56980745b4f27f7dc72ac296e6aa003e5d92a75b;1;5;0;5
CVE-2024-34353;matrix-org;matrix-rust-sdk;1;71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;1;27;0;27
CVE-2024-34353;matrix-org;matrix-rust-sdk;1;fa10bbb5dd0f9120a51aa1854cec752e25790bb0;https://github.com/matrix-org/matrix-rust-sdk/commit/fa10bbb5dd0f9120a51aa1854cec752e25790bb0;2;105;8;113
CVE-2024-40640;matrix-org;vodozemac;1;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;https://github.com/matrix-org/vodozemac/commit/734b6c6948d4b2bdee3dd8b4efa591d93a61d272;4;21;12;33
CVE-2024-34063;matrix-org;vodozemac;1;297548cad4016ce448c4b5007c54db7ee39489d9;https://github.com/matrix-org/vodozemac/commit/297548cad4016ce448c4b5007c54db7ee39489d9;1;9;9;18
CVE-2025-59161;element-hq;element-web;1;8e9a43d70c90e6a3b110cd0a377296079e4c81f5;https://github.com/element-hq/element-web/commit/8e9a43d70c90e6a3b110cd0a377296079e4c81f5;;;;
CVE-2024-51750;element-hq;element-web;1;231073c578d5f92b33cde7aa2b0b9c5836b2dc48;https://github.com/element-hq/element-web/commit/231073c578d5f92b33cde7aa2b0b9c5836b2dc48;;;;
CVE-2024-51749;element-hq;element-web;1;a00c343435d633e64de2c0548217aa611c7bbef5;https://github.com/element-hq/element-web/commit/a00c343435d633e64de2c0548217aa611c7bbef5;;;;
CVE-2024-47779;element-hq;element-web;1;8d7f2b5c1301129a488d3597f3839bd74203ee62;https://github.com/element-hq/element-web/commit/8d7f2b5c1301129a488d3597f3839bd74203ee62;;;;
CVE-2025-23197;matrix-org;matrix-hookshot;1;e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;https://github.com/matrix-org/matrix-hookshot/commit/e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;;;;
CVE-2023-43656;matrix-org;matrix-hookshot;1;dc126afa6af86d66aefcd23a825326f405bcc894;https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894;;;;
CVE-2022-39202;matrix-org;matrix-appservice-irc;1;5f87dbed87b4b6dc49b7965ff152ee8535719e67;https://github.com/matrix-org/matrix-appservice-irc/commit/5f87dbed87b4b6dc49b7965ff152ee8535719e67;;;;
CVE-2023-38690;matrix-org;matrix-appservice-irc;1;0afb064635d37e039067b5b3d6423448b93026d3;https://github.com/matrix-org/matrix-appservice-irc/commit/0afb064635d37e039067b5b3d6423448b93026d3;;;;
CVE-2023-38700;matrix-org;matrix-appservice-irc;1;8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75;https://github.com/matrix-org/matrix-appservice-irc/commit/8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75;;;;
CVE-2024-39691;matrix-org;matrix-appservice-irc;1;1835e047f269001054be4c68867797aa12372a0f;https://github.com/matrix-org/matrix-appservice-irc/commit/1835e047f269001054be4c68867797aa12372a0f;;;;
CVE-2024-52505;matrix-org;matrix-appservice-irc;1;4a024eae1a992b1ea67e71a998e0b833b54221e2;https://github.com/matrix-org/matrix-appservice-irc/commit/4a024eae1a992b1ea67e71a998e0b833b54221e2;;;;
CVE-2025-27146;matrix-org;matrix-appservice-irc;1;74f02c8e11f16ed1b355700092c1aa9c036a11bd;https://github.com/matrix-org/matrix-appservice-irc/commit/74f02c8e11f16ed1b355700092c1aa9c036a11bd;;;;
