github_owner;github_repo;dependency;ghsa_id;severity;published_at;cve_list;html_url
element-hq;element-android;0;GHSA-632v-9pm3-m8ch;medium;2025-03-14T15:53:26Z;CVE-2025-27606;https://github.com/element-hq/element-android/security/advisories/GHSA-632v-9pm3-m8ch
element-hq;element-android;0;GHSA-8wj9-cx7h-pvm4;medium;2024-02-20T16:02:46Z;CVE-2024-26132;https://github.com/element-hq/element-android/security/advisories/GHSA-8wj9-cx7h-pvm4
element-hq;element-android;0;GHSA-j6pr-fpc8-q9vm;high;2024-02-20T16:02:15Z;CVE-2024-26131;https://github.com/element-hq/element-android/security/advisories/GHSA-j6pr-fpc8-q9vm
element-hq;element-android;0;GHSA-p2m5-74vh-pj57;critical;2021-09-14T11:16:29Z;CVE-2021-40824;https://github.com/element-hq/element-android/security/advisories/GHSA-p2m5-74vh-pj57
element-hq;element-ios;0;GHSA-fm8m-99j7-323g;medium;2022-11-11T09:15:11Z;CVE-2022-41904;https://github.com/element-hq/element-ios/security/advisories/GHSA-fm8m-99j7-323g
element-hq;synapse;1;GHSA-8q93-326v-3m7g;high;2026-05-08T13:54:02Z;CVE-2026-45078;https://github.com/element-hq/synapse/security/advisories/GHSA-8q93-326v-3m7g
element-hq;synapse;1;GHSA-6qf2-7x63-mm6v;medium;2026-05-08T13:54:19Z;CVE-2026-45076;https://github.com/element-hq/synapse/security/advisories/GHSA-6qf2-7x63-mm6v
element-hq;synapse;1;GHSA-fh66-fcv5-jjfr;high;2025-10-08T12:39:53Z;CVE-2025-61672;https://github.com/element-hq/synapse/security/advisories/GHSA-fh66-fcv5-jjfr
element-hq;synapse;1;GHSA-v56r-hwv5-mxg6;high;2025-03-26T22:23:48Z;CVE-2025-30355;https://github.com/element-hq/synapse/security/advisories/GHSA-v56r-hwv5-mxg6
element-hq;synapse;1;GHSA-vp6v-whfm-rv3g;high;2024-12-03T16:36:34Z;CVE-2024-53863;https://github.com/element-hq/synapse/security/advisories/GHSA-vp6v-whfm-rv3g
element-hq;synapse;1;GHSA-f3r3-h2mq-hx2h;high;2024-12-03T16:40:17Z;CVE-2024-52815;https://github.com/element-hq/synapse/security/advisories/GHSA-f3r3-h2mq-hx2h
element-hq;synapse;1;GHSA-rfq8-j7rh-8hf2;high;2024-12-03T16:40:42Z;CVE-2024-52805;https://github.com/element-hq/synapse/security/advisories/GHSA-rfq8-j7rh-8hf2
element-hq;synapse;1;GHSA-56w4-5538-8v8h;medium;2024-12-03T16:41:02Z;CVE-2024-53867;https://github.com/element-hq/synapse/security/advisories/GHSA-56w4-5538-8v8h
element-hq;synapse;1;GHSA-gjgr-7834-rhxr;medium;2024-12-03T16:41:13Z;CVE-2024-37303;https://github.com/element-hq/synapse/security/advisories/GHSA-gjgr-7834-rhxr
element-hq;synapse;1;GHSA-4mhg-xv73-xq2x;high;2024-12-03T16:41:18Z;CVE-2024-37302;https://github.com/element-hq/synapse/security/advisories/GHSA-4mhg-xv73-xq2x
element-hq;synapse;1;GHSA-3h7q-rfh9-xm4v;high;2024-04-23T16:02:55Z;CVE-2024-31208;https://github.com/element-hq/synapse/security/advisories/GHSA-3h7q-rfh9-xm4v
