prioridade,cve,upstream,instancia,origem,lang,funcao_alvo,verdito_embeddings,verdito_ast2a,url_gabarito_fix,url_arquivo_fork,veredito_humano,observacao,veredito_ia
DISPUTADO,CVE-2022-39252,matrix-org/matrix-rust-sdk,SchildiChat/matrix-rust-sdk,fork_pre,rust,receive_supported_keys,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb | https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd,https://github.com/SchildiChat/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/gossiping/machine.rs,CORRIGIDO,auto(bloco-2B) score=0.233 [sim_pos=1.00 sim_pre=0.77],CORRIGIDO
DISPUTADO,CVE-2022-39252,matrix-org/matrix-rust-sdk,matrix-construct/matrix-rust-sdk,fork_pre,rust,receive_supported_keys,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb | https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd,https://github.com/matrix-construct/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/gossiping/machine.rs,CORRIGIDO,auto(bloco-2B) score=0.233 [sim_pos=1.00 sim_pre=0.77],CORRIGIDO
DISPUTADO,CVE-2022-39252,matrix-org/matrix-rust-sdk,matrix-org/matrix-rust-sdk @pre-fix,upstream_pre,rust,receive_supported_keys,CORRIGIDO,VULNERAVEL,https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb | https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd,https://github.com/matrix-org/matrix-rust-sdk/blob/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb~1/crates/matrix-sdk-crypto/src/gossiping/machine.rs,VULNERAVEL,auto(bloco-2B) score=-0.72 [pré-fix (def. vulneravel); sanity sim_pos=0.28 sim_pre=1.00],VULNERAVEL
DISPUTADO,CVE-2022-39252,matrix-org/matrix-rust-sdk,verji/matrix-rust-sdk,fork_pre,rust,receive_supported_keys,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb | https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd,https://github.com/verji/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/gossiping/machine.rs,CORRIGIDO,auto(bloco-2B) score=0.233 [sim_pos=1.00 sim_pre=0.77],CORRIGIDO
DISPUTADO,CVE-2023-38690,matrix-org/matrix-appservice-irc,jamesjen/matrix-appservice-irc,fork_pre,typescript,assertConnected,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/0afb064635d37e039067b5b3d6423448b93026d3,https://github.com/jamesjen/matrix-appservice-irc/commits/HEAD/src/irc/BridgedClient.ts,,auto(bloco-2B) score=0.026 [sim_pos=1.00 sim_pre=0.97 (empate)],
DISPUTADO,CVE-2023-38690,matrix-org/matrix-appservice-irc,matrix-org/matrix-appservice-irc @pre-fix,upstream_pre,typescript,assertConnected,VULNERAVEL,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/0afb064635d37e039067b5b3d6423448b93026d3,https://github.com/matrix-org/matrix-appservice-irc/blob/0afb064635d37e039067b5b3d6423448b93026d3~1/src/irc/BridgedClient.ts,VULNERAVEL,auto(bloco-2B) score=-0.026 [pré-fix (def. vulneravel); sanity sim_pos=0.97 sim_pre=1.00 (empate)],VULNERAVEL
DISPUTADO,CVE-2023-38690,matrix-org/matrix-appservice-irc,oI0ck/matrix-appservice-irc,fork_pre,typescript,assertConnected,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/0afb064635d37e039067b5b3d6423448b93026d3,https://github.com/oI0ck/matrix-appservice-irc/commits/HEAD/src/irc/BridgedClient.ts,,auto(bloco-2B) score=0.026 [sim_pos=1.00 sim_pre=0.97 (empate)],
DISPUTADO,CVE-2023-38700,matrix-org/matrix-appservice-irc,jamesjen/matrix-appservice-irc,fork_pre,typescript,sendIrcAction,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75,https://github.com/jamesjen/matrix-appservice-irc/commits/HEAD/src/bridge/MatrixHandler.ts,CORRIGIDO,auto(bloco-2B) score=0.298 [sim_pos=1.00 sim_pre=0.70],CORRIGIDO
DISPUTADO,CVE-2023-38700,matrix-org/matrix-appservice-irc,matrix-org/matrix-appservice-irc @pre-fix,upstream_pre,typescript,sendIrcAction,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75,https://github.com/matrix-org/matrix-appservice-irc/blob/8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75~1/src/bridge/MatrixHandler.ts,VULNERAVEL,auto(bloco-2B) score=-0.375 [pré-fix (def. vulneravel); sanity sim_pos=0.63 sim_pre=1.00],VULNERAVEL
DISPUTADO,CVE-2023-38700,matrix-org/matrix-appservice-irc,oI0ck/matrix-appservice-irc,fork_pre,typescript,sendIrcAction,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75,https://github.com/oI0ck/matrix-appservice-irc/commits/HEAD/src/bridge/MatrixHandler.ts,CORRIGIDO,auto(bloco-2B) score=0.298 [sim_pos=1.00 sim_pre=0.70],CORRIGIDO
DISPUTADO,CVE-2023-43656,matrix-org/matrix-hookshot,Rath-debug/matrix-hookshot,fork_pre,typescript,executeTransformationFunction,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894,https://github.com/Rath-debug/matrix-hookshot/commits/HEAD/src/Connections/GenericHook.ts,CORRIGIDO,auto(bloco-2B) score=0.716 [sim_pos=1.00 sim_pre=0.28],CORRIGIDO
DISPUTADO,CVE-2023-43656,matrix-org/matrix-hookshot,maladesov/matrix-hookshot,fork_pre,typescript,executeTransformationFunction,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894,https://github.com/maladesov/matrix-hookshot/commits/HEAD/src/Connections/GenericHook.ts,CORRIGIDO,auto(bloco-2B) score=0.716 [sim_pos=1.00 sim_pre=0.28],CORRIGIDO
DISPUTADO,CVE-2023-43656,matrix-org/matrix-hookshot,yncyrydybyl/matrix-hookshot,fork_pre,typescript,executeTransformationFunction,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894,https://github.com/yncyrydybyl/matrix-hookshot/commits/HEAD/src/Connections/GenericHook.ts,CORRIGIDO,auto(bloco-2B) score=0.716 [sim_pos=1.00 sim_pre=0.28],CORRIGIDO
DISPUTADO,CVE-2024-26132,element-hq/element-android,H1d3r/element-android,fork_pre,kotlin,createTemporaryMediaFile,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07,https://github.com/H1d3r/element-android/commits/HEAD/library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt,,auto(bloco-2B) score=0.022 [sim_pos=1.00 sim_pre=0.98 (empate)],
DISPUTADO,CVE-2024-26132,element-hq/element-android,SchildiChat/SchildiChat-android,fork_pre,kotlin,createTemporaryMediaFile,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07,https://github.com/SchildiChat/SchildiChat-android/commits/HEAD/library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt,,auto(bloco-2B) score=0.022 [sim_pos=1.00 sim_pre=0.98 (empate)],
DISPUTADO,CVE-2024-26132,element-hq/element-android,bincnc/element-android,fork_pre,kotlin,createTemporaryMediaFile,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07,https://github.com/bincnc/element-android/commits/HEAD/library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt,,auto(bloco-2B) score=0.022 [sim_pos=1.00 sim_pre=0.98 (empate)],
DISPUTADO,CVE-2024-26132,element-hq/element-android,element-hq/element-android @pre-fix,upstream_pre,kotlin,createTemporaryMediaFile,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07,https://github.com/element-hq/element-android/blob/8f9695a9a8d944cb9b92568cbd76578c51d32e07~1/library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt,VULNERAVEL,auto(bloco-2B) score=-0.022 [pré-fix (def. vulneravel); sanity sim_pos=0.98 sim_pre=1.00 (empate)],VULNERAVEL
DISPUTADO,CVE-2024-31208,element-hq/synapse,kakahu2015/synapse,fork_pre,python,exists_path_from,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a,https://github.com/kakahu2015/synapse/commits/HEAD/synapse/storage/databases/main/events.py,CORRIGIDO,auto(bloco-2B) score=0.47 [sim_pos=1.00 sim_pre=0.53],CORRIGIDO
DISPUTADO,CVE-2024-31208,element-hq/synapse,microchipster/synapse,fork_pre,python,exists_path_from,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a,https://github.com/microchipster/synapse/commits/HEAD/synapse/storage/databases/main/events.py,CORRIGIDO,auto(bloco-2B) score=0.47 [sim_pos=1.00 sim_pre=0.53],CORRIGIDO
DISPUTADO,CVE-2024-31208,element-hq/synapse,shcherbak/synapse,fork_pre,python,exists_path_from,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a,https://github.com/shcherbak/synapse/commits/HEAD/synapse/storage/databases/main/events.py,CORRIGIDO,auto(bloco-2B) score=0.47 [sim_pos=1.00 sim_pre=0.53],CORRIGIDO
DISPUTADO,CVE-2024-39691,matrix-org/matrix-appservice-irc,jamesjen/matrix-appservice-irc,fork_pre,typescript,_onMemberEvent,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/1835e047f269001054be4c68867797aa12372a0f,https://github.com/jamesjen/matrix-appservice-irc/commits/HEAD/src/bridge/MatrixHandler.ts,CORRIGIDO,auto(bloco-2B) score=0.047 [sim_pos=1.00 sim_pre=0.95],CORRIGIDO
DISPUTADO,CVE-2024-39691,matrix-org/matrix-appservice-irc,matrix-org/matrix-appservice-irc @pre-fix,upstream_pre,typescript,_onMemberEvent,VULNERAVEL,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/1835e047f269001054be4c68867797aa12372a0f,https://github.com/matrix-org/matrix-appservice-irc/blob/1835e047f269001054be4c68867797aa12372a0f~1/src/bridge/MatrixHandler.ts,VULNERAVEL,auto(bloco-2B) score=-0.047 [pré-fix (def. vulneravel); sanity sim_pos=0.95 sim_pre=1.00],VULNERAVEL
DISPUTADO,CVE-2024-39691,matrix-org/matrix-appservice-irc,oI0ck/matrix-appservice-irc,fork_pre,typescript,_onMemberEvent,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/1835e047f269001054be4c68867797aa12372a0f,https://github.com/oI0ck/matrix-appservice-irc/commits/HEAD/src/bridge/MatrixHandler.ts,CORRIGIDO,auto(bloco-2B) score=0.047 [sim_pos=1.00 sim_pre=0.95],CORRIGIDO
DISPUTADO,CVE-2025-23197,matrix-org/matrix-hookshot,Rath-debug/matrix-hookshot,fork_pre,typescript,start,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-hookshot/commit/e51d8210233ac759e7f7dfebc2c4f1bf6ce94802,https://github.com/Rath-debug/matrix-hookshot/commits/HEAD/src/github/GithubInstance.ts,CORRIGIDO,auto(bloco-2B) score=0.434 [sim_pos=1.00 sim_pre=0.57],CORRIGIDO
DISPUTADO,CVE-2025-23197,matrix-org/matrix-hookshot,maladesov/matrix-hookshot,fork_pre,typescript,start,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-hookshot/commit/e51d8210233ac759e7f7dfebc2c4f1bf6ce94802,https://github.com/maladesov/matrix-hookshot/commits/HEAD/src/github/GithubInstance.ts,CORRIGIDO,auto(bloco-2B) score=0.434 [sim_pos=1.00 sim_pre=0.57],CORRIGIDO
