categoria;cve;fork;arquivo;gt_label;gt_conf;auto_agregado;classificacao;commit_fix_upstream;arquivo_no_fork;veredito_humano;observacao
sdk;CVE-2022-39252;SchildiChat/matrix-rust-sdk;crates/matrix-sdk-crypto/src/gossiping/machine.rs;CONFIRMED_PATCHED;0.9333;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb | https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd;https://github.com/SchildiChat/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/gossiping/machine.rs;;
sdk;CVE-2022-39252;matrix-construct/matrix-rust-sdk;crates/matrix-sdk-crypto/src/gossiping/machine.rs;CONFIRMED_PATCHED;0.9333;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb | https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd;https://github.com/matrix-construct/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/gossiping/machine.rs;;
sdk;CVE-2022-39252;verji/matrix-rust-sdk;crates/matrix-sdk-crypto/src/gossiping/machine.rs;CONFIRMED_PATCHED;0.9333;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb | https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd;https://github.com/verji/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/gossiping/machine.rs;;
sdk;CVE-2024-34353;SchildiChat/matrix-rust-sdk;crates/matrix-sdk/src/encryption/mod.rs;CONFIRMED_PATCHED;0.8667;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/SchildiChat/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/src/encryption/mod.rs;;
sdk;CVE-2024-34353;matrix-construct/matrix-rust-sdk;crates/matrix-sdk/src/encryption/mod.rs;CONFIRMED_PATCHED;0.8667;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/matrix-construct/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/src/encryption/mod.rs;;
sdk;CVE-2024-34353;verji/matrix-rust-sdk;crates/matrix-sdk/src/encryption/mod.rs;CONFIRMED_PATCHED;0.8667;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/verji/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/src/encryption/mod.rs;;
sdk;CVE-2025-48937;SchildiChat/matrix-rust-sdk;crates/matrix-sdk-crypto/src/machine/mod.rs;CONFIRMED_PATCHED;1.0;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55;https://github.com/SchildiChat/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/machine/mod.rs;;
sdk;CVE-2025-48937;verji/matrix-rust-sdk;crates/matrix-sdk-crypto/src/machine/mod.rs;CONFIRMED_PATCHED;1.0;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55;https://github.com/verji/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/machine/mod.rs;;
server;CVE-2024-31208;kakahu2015/synapse;synapse/storage/databases/main/events.py;CONFIRMED_PATCHED;0.9333;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a;https://github.com/kakahu2015/synapse/blob/HEAD/synapse/storage/databases/main/events.py;;
server;CVE-2024-31208;microchipster/synapse;synapse/storage/databases/main/events.py;CONFIRMED_PATCHED;0.9333;ZONA_INCERTEZA;FN (GT corrigido, AST incerteza);https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a;https://github.com/microchipster/synapse/blob/HEAD/synapse/storage/databases/main/events.py;;
