upstream;category;cve;fork;fix_sha;filepath;tipo;auto_status;sim_ast;gt_label;gt_confidence;is_removal_patch;lines_checked;lines_present;lines_absent;evidence_file
element-hq/element-android;client;CVE-2025-27606;H1d3r/element-android;87d7fcdc8036a4db4da8c403f87c73a64a546304;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;L1_SHA;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;0;0;0;
element-hq/element-android;client;CVE-2025-27606;SchildiChat/SchildiChat-android;87d7fcdc8036a4db4da8c403f87c73a64a546304;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;L1_SHA;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;0;0;0;
element-hq/element-android;client;CVE-2025-27606;bincnc/element-android;87d7fcdc8036a4db4da8c403f87c73a64a546304;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;L1_SHA;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;0;0;0;
element-hq/element-android;client;CVE-2024-26132;H1d3r/element-android;8f9695a9a8d944cb9b92568cbd76578c51d32e07;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;L2_CORRIGIDO;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2024-26132/H1d3r_element-android_8f9695a9_library_multipicker_src_main_java_im_vector_lib_multipicker_utils_MediaFileUtils.kt
element-hq/element-android;client;CVE-2024-26132;SchildiChat/SchildiChat-android;8f9695a9a8d944cb9b92568cbd76578c51d32e07;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;L2_CORRIGIDO;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2024-26132/SchildiChat_SchildiChat-android_8f9695a9_library_multipicker_src_main_java_im_vector_lib_multipicker_utils_MediaFileUtils.kt
element-hq/element-android;client;CVE-2024-26132;bincnc/element-android;8f9695a9a8d944cb9b92568cbd76578c51d32e07;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;L2_CORRIGIDO;CORRIGIDO;1.0;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2024-26132/bincnc_element-android_8f9695a9_library_multipicker_src_main_java_im_vector_lib_multipicker_utils_MediaFileUtils.kt
element-hq/element-android;client;CVE-2024-26131;H1d3r/element-android;53734255ec270b0814946350787393dfcaa2a5a9;vector/src/main/java/im/vector/app/features/MainActivity.kt;L2_CORRIGIDO;CORRIGIDO;0.9727;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2024-26131/H1d3r_element-android_53734255_vector_src_main_java_im_vector_app_features_MainActivity.kt
element-hq/element-android;client;CVE-2024-26131;SchildiChat/SchildiChat-android;53734255ec270b0814946350787393dfcaa2a5a9;vector/src/main/java/im/vector/app/features/MainActivity.kt;L2_CORRIGIDO;CORRIGIDO;0.9727;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2024-26131/SchildiChat_SchildiChat-android_53734255_vector_src_main_java_im_vector_app_features_MainActivity.kt
element-hq/element-android;client;CVE-2024-26131;bincnc/element-android;53734255ec270b0814946350787393dfcaa2a5a9;vector/src/main/java/im/vector/app/features/MainActivity.kt;L2_CORRIGIDO;CORRIGIDO;0.9727;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2024-26131/bincnc_element-android_53734255_vector_src_main_java_im_vector_app_features_MainActivity.kt
element-hq/synapse;server;CVE-2025-61672;microchipster/synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.861;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/microchipster_synapse_26aaaf9e_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;kakahu2015/synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.8939;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/kakahu2015_synapse_26aaaf9e_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;shcherbak/synapse;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.8939;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/shcherbak_synapse_26aaaf9e_synapse_rest_client_keys.py
element-hq/synapse;server;CVE-2025-61672;microchipster/synapse;7069636c2d6d1ef2022287addf3ed8b919ef2740;synapse/rest/client/keys.py;L2_CORRIGIDO;CORRIGIDO;0.8637;AMBIGUOUS;0.6;False;15;9;6;evidencias_gt_dissertacao/CVE-2025-61672/microchipster_synapse_7069636c_synapse_rest_client_keys.py
