par_id;prioridade;cve;upstream;fork;categoria;gt_label;gt_confianca;auto_uniao;auto_regra_ab;gatilho_ab;anchor;origem_ficha;link_fix_commit;link_arquivo_fork;veredito_humano;sonda_nao_corretiva;observacao
tchapgouv/matrix-rust-sdk::CVE-2024-40648;P1;CVE-2024-40648;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;0.0667;CORRIGIDO;ZONA_INCERTEZA;sim;own_identity.is_verified() && own_identity.is_identity_signed;proposta;https://github.com/matrix-org/matrix-rust-sdk/commit/76a7052149bb8f722df12da915b3a06d19a6695a;https://github.com/tchapgouv/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/identities/user.rs;;;
zecakeh/matrix-rust-sdk::CVE-2024-40648;P2;CVE-2024-40648;matrix-org/matrix-rust-sdk;zecakeh/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;0.0;VULNERAVEL;VULNERAVEL;;own_identity.is_verified() && own_identity.is_identity_signed;proposta;https://github.com/matrix-org/matrix-rust-sdk/commit/76a7052149bb8f722df12da915b3a06d19a6695a;https://github.com/zecakeh/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/identities/user.rs;;;
Hywan/matrix-rust-sdk::CVE-2024-40648;P5;CVE-2024-40648;matrix-org/matrix-rust-sdk;Hywan/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;1.0;CORRIGIDO;CORRIGIDO;;own_identity.is_verified() && own_identity.is_identity_signed;proposta;https://github.com/matrix-org/matrix-rust-sdk/commit/76a7052149bb8f722df12da915b3a06d19a6695a;https://github.com/Hywan/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/identities/user.rs;;;
tchapgouv/matrix-rust-sdk::CVE-2025-53549;P1;CVE-2025-53549;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;AMBIGUOUS;0.6667;CORRIGIDO;ZONA_INCERTEZA;sim;collect_results;proposta;https://github.com/matrix-org/matrix-rust-sdk/commit/d0c01006e4808db5eb96ad5c496416f284d8bd3c;https://github.com/tchapgouv/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-sqlite/src/event_cache_store.rs;;;
tchapgouv/matrix-rust-sdk::CVE-2025-66622;P1;CVE-2025-66622;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;0.0;CORRIGIDO;ZONA_INCERTEZA;sim;"warn!(""Encountered a custom join rule"")";gtv2;https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/tchapgouv/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-base/src/room/room_info.rs;;;
Hywan/matrix-rust-sdk::CVE-2025-66622;P2;CVE-2025-66622;matrix-org/matrix-rust-sdk;Hywan/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;0.1333;ZONA_INCERTEZA;ZONA_INCERTEZA;;"warn!(""Encountered a custom join rule"")";gtv2;https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/Hywan/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/tests/integration/client.rs;;;
zecakeh/matrix-rust-sdk::CVE-2025-66622;P2;CVE-2025-66622;matrix-org/matrix-rust-sdk;zecakeh/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;0.0667;NAO_CORRIGIDO;NAO_CORRIGIDO;;"warn!(""Encountered a custom join rule"")";gtv2;https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/zecakeh/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/tests/integration/client.rs;;;
zecakeh/matrix-rust-sdk::CVE-2024-34353;P2;CVE-2024-34353;matrix-org/matrix-rust-sdk;zecakeh/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;0.0667;ZONA_INCERTEZA;ZONA_INCERTEZA;;setup_and_resume();gtv2;https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/zecakeh/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/src/encryption/mod.rs;;;
tchapgouv/matrix-rust-sdk::CVE-2024-34353;P3;CVE-2024-34353;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;0.9333;ZONA_INCERTEZA;ZONA_INCERTEZA;;setup_and_resume();gtv2;https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/tchapgouv/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/src/encryption/mod.rs;;;
Hywan/matrix-rust-sdk::CVE-2024-34353;P5;CVE-2024-34353;matrix-org/matrix-rust-sdk;Hywan/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;0.9333;CORRIGIDO;CORRIGIDO;;setup_and_resume();gtv2;https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/Hywan/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk/src/encryption/mod.rs;;;
