par_id;prioridade;cve;upstream;fork;categoria;gt_label;auto_uniao;auto_regra_ab;gatilho_ab;anchor;origem_ficha;veredito_humano;sonda_nao_corretiva;observacao;rodada;justificativa_codigo
tchapgouv/matrix-rust-sdk::CVE-2024-40648;P1;CVE-2024-40648;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;CORRIGIDO;ZONA_INCERTEZA;sim;own_identity.is_verified() && own_identity.is_identity_signed;proposta;CORRIGIDO;;;1;
zecakeh/matrix-rust-sdk::CVE-2024-40648;P2;CVE-2024-40648;matrix-org/matrix-rust-sdk;zecakeh/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;VULNERAVEL;VULNERAVEL;;own_identity.is_verified() && own_identity.is_identity_signed;proposta;VULNERAVEL;;arquivo deletado;1;
Hywan/matrix-rust-sdk::CVE-2024-40648;P5;CVE-2024-40648;matrix-org/matrix-rust-sdk;Hywan/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;own_identity.is_verified() && own_identity.is_identity_signed;proposta;CORRIGIDO;;;1;
tchapgouv/matrix-rust-sdk::CVE-2025-53549;P1;CVE-2025-53549;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;AMBIGUOUS;CORRIGIDO;ZONA_INCERTEZA;sim;collect_results;proposta;VULNERAVEL;;;2 (revisado);2a rodada. Verificado no codigo: 'collect_results' e 'get_rows' aparecem 3x cada no upstream pos-patch e 0x no fork (event_cache_store.rs). Reestruturacao ausente.
tchapgouv/matrix-rust-sdk::CVE-2025-66622;P1;CVE-2025-66622;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;CORRIGIDO;ZONA_INCERTEZA;sim;"warn!(""Encountered a custom join rule"")";gtv2;VULNERAVEL;sim;;2 (revisado);2a rodada. Verificado no codigo: anchor 'Encountered a custom join rule' aparece 2x no upstream pos-patch e 0x no arquivo do fork (room_info.rs). Braco corretivo do match ausente.
Hywan/matrix-rust-sdk::CVE-2025-66622;P2;CVE-2025-66622;matrix-org/matrix-rust-sdk;Hywan/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;ZONA_INCERTEZA;ZONA_INCERTEZA;;"warn!(""Encountered a custom join rule"")";gtv2;CORRIGIDO;sim;;1;
zecakeh/matrix-rust-sdk::CVE-2025-66622;P2;CVE-2025-66622;matrix-org/matrix-rust-sdk;zecakeh/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;NAO_CORRIGIDO;NAO_CORRIGIDO;;"warn!(""Encountered a custom join rule"")";gtv2;VULNERAVEL;sim;;1;
zecakeh/matrix-rust-sdk::CVE-2024-34353;P2;CVE-2024-34353;matrix-org/matrix-rust-sdk;zecakeh/matrix-rust-sdk;sdk;CONFIRMED_VULNERABLE;ZONA_INCERTEZA;ZONA_INCERTEZA;;setup_and_resume();gtv2;VULNERAVEL;sim;;1;
tchapgouv/matrix-rust-sdk::CVE-2024-34353;P3;CVE-2024-34353;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;ZONA_INCERTEZA;ZONA_INCERTEZA;;setup_and_resume();gtv2;VULNERAVEL;sim;;1;
Hywan/matrix-rust-sdk::CVE-2024-34353;P5;CVE-2024-34353;matrix-org/matrix-rust-sdk;Hywan/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;setup_and_resume();gtv2;INCONCLUSIVO;sim;;2 (revisado);"2a rodada. Verificado no codigo: 'setup_and_resume' 2x no upstream pos-patch contra 1x no fork (encryption/mod.rs); 'regenerate_olm' 1x em ambos. Correcao e de ORDEM de chamada, contagem nao decide: inconclusivo."
Buzzlabs/synapse::CVE-2026-45078;P2;CVE-2026-45078;element-hq/synapse;Buzzlabs/synapse;server;CONFIRMED_VULNERABLE;VULNERAVEL;VULNERAVEL;;_increment_timeout_interval;proposta;VULNERAVEL;sim;;1;
AliAbutorabi/Synapse::CVE-2026-45078;P5;CVE-2026-45078;element-hq/synapse;AliAbutorabi/Synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;_increment_timeout_interval;proposta;CORRIGIDO;;;1;
guillemo12/synapse::CVE-2026-45078;P5;CVE-2026-45078;element-hq/synapse;guillemo12/synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;_increment_timeout_interval;proposta;CORRIGIDO;;;1;
Hywan/matrix-rust-sdk::CVE-2022-39252;P3;CVE-2022-39252;matrix-org/matrix-rust-sdk;Hywan/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;ZONA_INCERTEZA;ZONA_INCERTEZA;;should_accept_forward;gtv2;CORRIGIDO;;;1;
tchapgouv/matrix-rust-sdk::CVE-2022-39252;P3;CVE-2022-39252;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;ZONA_INCERTEZA;ZONA_INCERTEZA;;should_accept_forward;gtv2;CORRIGIDO;;;1;
zecakeh/matrix-rust-sdk::CVE-2022-39252;P5;CVE-2022-39252;matrix-org/matrix-rust-sdk;zecakeh/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;should_accept_forward;gtv2;CORRIGIDO;;;1;
H1d3r/element-android::CVE-2024-26131;P5;CVE-2024-26131;element-hq/element-android;H1d3r/element-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;className in allowList;gtv2;CORRIGIDO;;;1;
luki-ev/synod-android::CVE-2024-26131;P5;CVE-2024-26131;element-hq/element-android;luki-ev/synod-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;className in allowList;gtv2;CORRIGIDO;;;1;
validkanaheiuser/element-android::CVE-2024-26131;P5;CVE-2024-26131;element-hq/element-android;validkanaheiuser/element-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;className in allowList;gtv2;CORRIGIDO;;;1;
H1d3r/element-android::CVE-2024-26132;P5;CVE-2024-26132;element-hq/element-android;H1d3r/element-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;"File(context.filesDir, ""media"")";gtv2;CORRIGIDO;;;1;
luki-ev/synod-android::CVE-2024-26132;P5;CVE-2024-26132;element-hq/element-android;luki-ev/synod-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;"File(context.filesDir, ""media"")";gtv2;CORRIGIDO;;;1;
validkanaheiuser/element-android::CVE-2024-26132;P5;CVE-2024-26132;element-hq/element-android;validkanaheiuser/element-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;"File(context.filesDir, ""media"")";gtv2;CORRIGIDO;;;1;
