id;github_owner;github_repo;dependency;commit_sha;commit_url;no_files;additions;deletions;changes
CVE-2026-45078;element-hq;synapse;1;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;https://github.com/element-hq/synapse/commit/3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;3;216;32;248
CVE-2025-61672;element-hq;synapse;1;26aaaf9e48fff80cf67a20c691c75d670034b3c1;https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1;4;280;8;288
CVE-2025-61672;element-hq;synapse;1;7069636c2d6d1ef2022287addf3ed8b919ef2740;https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740;4;280;8;288
CVE-2025-30355;element-hq;synapse;1;2277df2a1eb685f85040ef98fa21d41aa4cdd389;https://github.com/element-hq/synapse/commit/2277df2a1eb685f85040ef98fa21d41aa4cdd389;7;63;27;90
CVE-2024-31208;element-hq;synapse;1;55b0aa847a61774b6a3acdc4b177a20dc019f01a;https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a;4;117;104;221
CVE-2022-39254;matrix-nio;matrix-nio;1;b1cbf234a831daa160673defd596e6450e9c29f0;https://github.com/matrix-nio/matrix-nio/commit/b1cbf234a831daa160673defd596e6450e9c29f0;1;37;17;54
CVE-2025-66622;matrix-org;matrix-rust-sdk;1;4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;3;107;7;114
CVE-2025-59047;matrix-org;matrix-rust-sdk;1;ce3b67f801446387972ff120e907ca828a9f1207;https://github.com/matrix-org/matrix-rust-sdk/commit/ce3b67f801446387972ff120e907ca828a9f1207;1;1;1;2
CVE-2025-53549;matrix-org;matrix-rust-sdk;1;d0c01006e4808db5eb96ad5c496416f284d8bd3c;https://github.com/matrix-org/matrix-rust-sdk/commit/d0c01006e4808db5eb96ad5c496416f284d8bd3c;1;62;39;101
CVE-2025-48937;matrix-org;matrix-rust-sdk;1;13c1d2048286bbabf5e7bc6b015aafee98f04d55;https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55;3;107;2;109
CVE-2025-48937;matrix-org;matrix-rust-sdk;1;56980745b4f27f7dc72ac296e6aa003e5d92a75b;https://github.com/matrix-org/matrix-rust-sdk/commit/56980745b4f27f7dc72ac296e6aa003e5d92a75b;1;5;0;5
CVE-2024-40648;matrix-org;matrix-rust-sdk;1;76a7052149bb8f722df12da915b3a06d19a6695a;https://github.com/matrix-org/matrix-rust-sdk/commit/76a7052149bb8f722df12da915b3a06d19a6695a;2;94;5;99
CVE-2024-34353;matrix-org;matrix-rust-sdk;1;71136e44c03c79f80d6d1a2446673bc4d53a2067;https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067;1;27;0;27
CVE-2024-34353;matrix-org;matrix-rust-sdk;1;fa10bbb5dd0f9120a51aa1854cec752e25790bb0;https://github.com/matrix-org/matrix-rust-sdk/commit/fa10bbb5dd0f9120a51aa1854cec752e25790bb0;2;105;8;113
CVE-2022-39252;matrix-org;matrix-rust-sdk;1;093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;https://github.com/matrix-org/matrix-rust-sdk/commit/093fb5d0aa21c0b5eaea6ec96b477f1075271cbb;1;31;2;33
CVE-2022-39252;matrix-org;matrix-rust-sdk;1;41449d2cc360e347f5d4e1c154ec1e3185f11acd;https://github.com/matrix-org/matrix-rust-sdk/commit/41449d2cc360e347f5d4e1c154ec1e3185f11acd;1;60;4;64
CVE-2025-27606;element-hq;element-android;1;53bd78b05de375c6e6b0b5aa794a56b4ba95984c;https://github.com/element-hq/element-android/commit/53bd78b05de375c6e6b0b5aa794a56b4ba95984c;1;1;1;2
CVE-2025-27606;element-hq;element-android;1;87d7fcdc8036a4db4da8c403f87c73a64a546304;https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304;4;19;2;21
CVE-2024-26132;element-hq;element-android;1;8f9695a9a8d944cb9b92568cbd76578c51d32e07;https://github.com/element-hq/element-android/commit/8f9695a9a8d944cb9b92568cbd76578c51d32e07;3;4;3;7
CVE-2024-26131;element-hq;element-android;1;53734255ec270b0814946350787393dfcaa2a5a9;https://github.com/element-hq/element-android/commit/53734255ec270b0814946350787393dfcaa2a5a9;2;20;0;20
CVE-2025-27599;element-hq;element-x-android;1;dc058544d7e693c04298191c1aadd5b39c9be52e;https://github.com/element-hq/element-x-android/commit/dc058544d7e693c04298191c1aadd5b39c9be52e;5;37;18;55
CVE-2024-40640;matrix-org;vodozemac;1;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;https://github.com/matrix-org/vodozemac/commit/734b6c6948d4b2bdee3dd8b4efa591d93a61d272;4;21;12;33
CVE-2024-40640;matrix-org;vodozemac;1;77765dace11266ef9523301624a01265c6e0f790;https://github.com/matrix-org/vodozemac/commit/77765dace11266ef9523301624a01265c6e0f790;4;21;12;33
CVE-2024-34063;matrix-org;vodozemac;1;297548cad4016ce448c4b5007c54db7ee39489d9;https://github.com/matrix-org/vodozemac/commit/297548cad4016ce448c4b5007c54db7ee39489d9;1;9;9;18
CVE-2025-62425;element-hq;matrix-authentication-service;1;bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;https://github.com/element-hq/matrix-authentication-service/commit/bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;4;311;8;319
