fork;upstream;categoria;linguagem;created_at;pushed_at;ahead_by;behind_by;stars;n_cves;n_corrigidas;cobertura_pct
AliAbutorabi/Synapse;element-hq/synapse;server;python;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0;4;4;100.0
Buzzlabs/synapse;element-hq/synapse;server;python;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0;4;3;75.0
CommE2E/vodozemac;matrix-org/vodozemac;support;rust;2025-11-12T15:21:45Z;2026-01-20T02:07:54Z;25;125;1;1;1;100.0
Gua-ra/gua-android;element-hq/element-x-android;client;kotlin;2026-06-20T09:37:38Z;2026-09-02T02:19:56Z;86;1146;0;1;0;0.0
Gua-ra/gua-auth-service;element-hq/matrix-authentication-service;support;rust;2026-06-11T15:33:14Z;2026-09-02T02:17:34Z;39;482;0;1;1;100.0
H1d3r/element-android;element-hq/element-android;client;kotlin;2025-08-01T07:36:49Z;2026-08-21T10:43:26Z;35;76;0;3;3;100.0
Hywan/matrix-rust-sdk;matrix-org/matrix-rust-sdk;sdk;rust;2022-05-03T07:36:28Z;2026-09-01T15:15:31Z;1;6646;0;6;2;33.3
Tween-IM/tween-authentication-service;element-hq/matrix-authentication-service;support;rust;2026-04-17T00:51:31Z;2026-08-05T15:33:23Z;6;77;0;1;1;100.0
eleanor-clifford/matrix-nio;matrix-nio/matrix-nio;sdk;python;2025-07-09T14:10:17Z;2025-09-19T11:36:23Z;24;4;0;1;0;0.0
guillemo12/synapse;element-hq/synapse;server;python;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0;4;4;100.0
hayaksi1/element-x-android;element-hq/element-x-android;client;kotlin;2026-07-20T19:07:28Z;2026-09-01T19:24:32Z;297;42;0;1;0;0.0
jekahu/element-x-android;element-hq/element-x-android;client;kotlin;2026-05-12T12:48:28Z;2026-09-01T19:00:02Z;86;0;0;1;0;0.0
luki-ev/synod-android;element-hq/element-android;client;kotlin;2020-03-25T13:21:07Z;2026-08-23T19:03:08Z;272;14;5;3;3;100.0
mindroom-ai/mindroom-nio;matrix-nio/matrix-nio;sdk;python;2026-04-28T02:43:57Z;2026-08-29T21:49:47Z;54;0;2;1;0;0.0
pangeachat/matrix-nio;matrix-nio/matrix-nio;sdk;python;2024-02-28T17:02:47Z;2026-05-06T17:26:00Z;8;7;0;1;0;0.0
tangowhisky-dev/vodozemac;matrix-org/vodozemac;support;rust;2025-08-29T08:50:14Z;2025-09-03T16:59:50Z;28;170;0;1;1;100.0
tchapgouv/matrix-authentication-service;element-hq/matrix-authentication-service;support;rust;2024-10-11T14:35:44Z;2026-08-25T12:22:50Z;122;79;0;1;1;100.0
tchapgouv/matrix-rust-sdk;matrix-org/matrix-rust-sdk;sdk;rust;2024-09-02T14:33:01Z;2026-08-31T17:08:21Z;6;3440;0;6;4;66.7
validkanaheiuser/element-android;element-hq/element-android;client;kotlin;2026-05-16T21:20:36Z;2026-08-19T11:21:58Z;29;6;0;3;3;100.0
xsanm/vodozemac;matrix-org/vodozemac;support;rust;2025-10-31T10:44:19Z;2025-10-31T10:51:29Z;1;148;0;1;1;100.0
zecakeh/matrix-rust-sdk;matrix-org/matrix-rust-sdk;sdk;rust;2021-03-09T12:54:06Z;2026-08-31T18:26:38Z;1;10350;0;6;1;16.7
