upstream;categoria;linguagem;cve_id;fork;status;arquivo;eh_arquivo_de_teste;fix_sha;data_fix_upstream;data_ultimo_toque_fork;lag_dias;lag_confiavel;sim_2a;delta;metrica;fork_created_at;fork_pushed_at;ahead_by;behind_by;stars
element-hq/synapse;server;python;CVE-2026-45078;guillemo12/synapse;CORRIGIDO;synapse/handlers/worker_lock.py;nao;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;2026-05-05T13:40:17Z;2026-05-12T15:10:09Z;7.1;sim;0.998;0.1777;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2026-45078;Buzzlabs/synapse;VULNERAVEL;synapse/handlers/worker_lock.py;nao;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;2026-05-05T13:40:17Z;2025-12-01T13:55:06Z;-155.0;nao;0.822;-0.178;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2026-45078;AliAbutorabi/Synapse;CORRIGIDO;synapse/handlers/worker_lock.py;nao;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;2026-05-05T13:40:17Z;2026-05-12T15:10:09Z;7.1;sim;0.998;0.1777;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2026-45078;guillemo12/synapse;CORRIGIDO;tests/handlers/test_worker_lock.py;sim;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;2026-05-05T13:40:17Z;2026-07-09T09:40:53Z;64.8;sim;0.8738;0.3626;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2026-45078;Buzzlabs/synapse;VULNERAVEL;tests/handlers/test_worker_lock.py;sim;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;2026-05-05T13:40:17Z;2025-09-22T15:27:59Z;-224.9;nao;0.5412;-0.4588;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2026-45078;AliAbutorabi/Synapse;CORRIGIDO;tests/handlers/test_worker_lock.py;sim;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;2026-05-05T13:40:17Z;2026-05-12T15:10:09Z;7.1;sim;0.9307;0.4226;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2025-61672;guillemo12/synapse;CORRIGIDO;synapse/rest/client/keys.py;nao;26aaaf9e48fff80cf67a20c691c75d670034b3c1;2025-10-07T10:34:07Z;2026-07-02T11:25:11Z;268.0;sim;0.861;0.1342;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2025-61672;Buzzlabs/synapse;CORRIGIDO;synapse/rest/client/keys.py;nao;26aaaf9e48fff80cf67a20c691c75d670034b3c1;2025-10-07T10:34:07Z;2025-11-06T20:02:33Z;30.4;sim;0.9611;0.1685;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2025-61672;AliAbutorabi/Synapse;CORRIGIDO;synapse/rest/client/keys.py;nao;26aaaf9e48fff80cf67a20c691c75d670034b3c1;2025-10-07T10:34:07Z;2026-07-02T11:25:11Z;268.0;sim;0.861;0.1342;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2025-61672;guillemo12/synapse;CORRIGIDO;tests/rest/client/test_keys.py;sim;26aaaf9e48fff80cf67a20c691c75d670034b3c1;2025-10-07T10:34:07Z;2026-07-02T11:25:11Z;268.0;sim;0.6061;0.1231;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2025-61672;Buzzlabs/synapse;CORRIGIDO;tests/rest/client/test_keys.py;sim;26aaaf9e48fff80cf67a20c691c75d670034b3c1;2025-10-07T10:34:07Z;2025-10-07T15:23:55Z;0.2;sim;0.9575;0.2292;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2025-61672;AliAbutorabi/Synapse;CORRIGIDO;tests/rest/client/test_keys.py;sim;26aaaf9e48fff80cf67a20c691c75d670034b3c1;2025-10-07T10:34:07Z;2026-07-02T11:25:11Z;268.0;sim;0.6061;0.1231;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2025-61672;guillemo12/synapse;CORRIGIDO;synapse/rest/client/keys.py;nao;7069636c2d6d1ef2022287addf3ed8b919ef2740;2025-10-07T10:41:00Z;2026-07-02T11:25:11Z;268.0;sim;0.8637;0.1329;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2025-61672;Buzzlabs/synapse;CORRIGIDO;synapse/rest/client/keys.py;nao;7069636c2d6d1ef2022287addf3ed8b919ef2740;2025-10-07T10:41:00Z;2025-11-06T20:02:33Z;30.4;sim;0.9645;0.1682;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2025-61672;AliAbutorabi/Synapse;CORRIGIDO;synapse/rest/client/keys.py;nao;7069636c2d6d1ef2022287addf3ed8b919ef2740;2025-10-07T10:41:00Z;2026-07-02T11:25:11Z;268.0;sim;0.8637;0.1329;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2025-61672;guillemo12/synapse;CORRIGIDO;tests/rest/client/test_keys.py;sim;7069636c2d6d1ef2022287addf3ed8b919ef2740;2025-10-07T10:41:00Z;2026-07-02T11:25:11Z;268.0;sim;0.6061;0.1231;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2025-61672;Buzzlabs/synapse;CORRIGIDO;tests/rest/client/test_keys.py;sim;7069636c2d6d1ef2022287addf3ed8b919ef2740;2025-10-07T10:41:00Z;2025-10-07T15:23:55Z;0.2;sim;0.9575;0.2292;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2025-61672;AliAbutorabi/Synapse;CORRIGIDO;tests/rest/client/test_keys.py;sim;7069636c2d6d1ef2022287addf3ed8b919ef2740;2025-10-07T10:41:00Z;2026-07-02T11:25:11Z;268.0;sim;0.6061;0.1231;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
element-hq/synapse;server;python;CVE-2025-30355;guillemo12/synapse;CORRIGIDO;synapse/federation/units.py;nao;2277df2a1eb685f85040ef98fa21d41aa4cdd389;2025-03-26T18:44:45Z;2025-11-06T20:02:33Z;225.1;sim;0.9724;0.2259;lev_only;2026-08-13T10:17:02Z;2026-09-01T17:29:50Z;5;0;0
element-hq/synapse;server;python;CVE-2025-30355;Buzzlabs/synapse;CORRIGIDO;synapse/federation/units.py;nao;2277df2a1eb685f85040ef98fa21d41aa4cdd389;2025-03-26T18:44:45Z;2025-11-06T20:02:33Z;225.1;sim;0.9724;0.2259;lev_only;2025-12-05T18:44:36Z;2026-08-27T14:55:31Z;119;576;0
element-hq/synapse;server;python;CVE-2025-30355;AliAbutorabi/Synapse;CORRIGIDO;synapse/federation/units.py;nao;2277df2a1eb685f85040ef98fa21d41aa4cdd389;2025-03-26T18:44:45Z;2025-11-06T20:02:33Z;225.1;sim;0.9724;0.2259;lev_only;2026-07-07T20:14:35Z;2026-08-27T08:56:57Z;5;152;0
