github_owner;github_repo;category;language;cpe_wfn_pattern
element-hq;synapse;server;python;cpe:2.3:a:*:synapse:*:*:*:*:*:*:*:*
matrix-construct;tuwunel;server;rust;cpe:2.3:a:*:tuwunel:*:*:*:*:*:*:*:*
matrix-org;vodozemac;support;rust;cpe:2.3:a:*:vodozemac:*:*:*:*:*:*:*:*
element-hq;matrix-authentication-service;support;rust;cpe:2.3:a:*:matrix-authentication-service:*:*:*:*:*:*:*:*
matrix-org;sygnal;support;python;cpe:2.3:a:*:sygnal:*:*:*:*:*:*:*:*
Automattic;chatrix;client;typescript;cpe:2.3:a:*:chatrix:*:*:*:*:*:*:*:*
cinnyapp;cinny;client;typescript;cpe:2.3:a:*:cinny:*:*:*:*:*:*:*:*
element-hq;element-android;client;kotlin;cpe:2.3:a:*:element-android:*:*:*:*:*:*:*:*
element-hq;element-ios;client;swift;cpe:2.3:a:*:element-ios:*:*:*:*:*:*:*:*
element-hq;element-x-android;client;kotlin;cpe:2.3:a:*:element-x-android:*:*:*:*:*:*:*:*
element-hq;element-x-ios;client;swift;cpe:2.3:a:*:element-x-ios:*:*:*:*:*:*:*:*
8go;matrix-commander-rs;client;rust;cpe:2.3:a:*:matrix-commander-rs:*:*:*:*:*:*:*:*
8go;matrix-commander;client;python;cpe:2.3:a:*:matrix-commander:*:*:*:*:*:*:*:*
SchildiChat;SchildiChat-android;client;kotlin;cpe:2.3:a:*:SchildiChat-android:*:*:*:*:*:*:*:*
mautrix;discord;bridge;go;cpe:2.3:a:*:discord:*:*:*:*:*:*:*:*
matrix-org;matrix-appservice-discord;bridge;typescript;cpe:2.3:a:*:matrix-appservice-discord:*:*:*:*:*:*:*:*
mautrix;meta;bridge;go;cpe:2.3:a:*:meta:*:*:*:*:*:*:*:*
mautrix;telegram;bridge;go;cpe:2.3:a:*:telegram:*:*:*:*:*:*:*:*
mautrix;whatsapp;bridge;go;cpe:2.3:a:*:whatsapp:*:*:*:*:*:*:*:*
mautrix;python;sdk;python;cpe:2.3:a:*:python:*:*:*:*:*:*:*:*
mautrix;go;sdk;go;cpe:2.3:a:*:go:*:*:*:*:*:*:*:*
matrix-nio;matrix-nio;sdk;python;cpe:2.3:a:*:matrix-nio:*:*:*:*:*:*:*:*
matrix-org;matrix-rust-sdk;sdk;rust;cpe:2.3:a:*:matrix-rust-sdk:*:*:*:*:*:*:*:*
ruma;ruma;sdk;rust;cpe:2.3:a:*:ruma:*:*:*:*:*:*:*:*
