upstream;category;language;cve_id;fix_sha;filepath;churn;fork;fork_pushed;sha_match;status;sim_2a;label_2a;sim_patch;sim_vuln;delta;label_2b;method;ts
element-hq/synapse;server;python;CVE-2026-45078;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;synapse/handlers/worker_lock.py;117;guillemo12/synapse;2026-08-30T13:36:10Z;False;CORRIGIDO;0.998;CORRIGIDO;0.998;0.8204;0.1777;CORRIGIDO;lev_only;2026-08-31T23:16:18.753779+00:00
element-hq/synapse;server;python;CVE-2026-45078;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;synapse/handlers/worker_lock.py;117;Buzzlabs/synapse;2026-08-27T14:55:31Z;False;VULNERAVEL;0.822;CORRIGIDO;0.822;1.0;-0.178;VULNERAVEL;lev_only;2026-08-31T23:16:19.479393+00:00
element-hq/synapse;server;python;CVE-2026-45078;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;synapse/handlers/worker_lock.py;117;AliAbutorabi/Synapse;2026-08-27T08:56:57Z;False;CORRIGIDO;0.998;CORRIGIDO;0.998;0.8204;0.1777;CORRIGIDO;lev_only;2026-08-31T23:16:20.071457+00:00
element-hq/synapse;server;python;CVE-2026-45078;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;tests/handlers/test_worker_lock.py;130;guillemo12/synapse;2026-08-30T13:36:10Z;False;CORRIGIDO;0.8738;CORRIGIDO;0.8738;0.5112;0.3626;CORRIGIDO;lev_only;2026-08-31T23:16:21.777676+00:00
element-hq/synapse;server;python;CVE-2026-45078;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;tests/handlers/test_worker_lock.py;130;Buzzlabs/synapse;2026-08-27T14:55:31Z;False;VULNERAVEL;0.5412;ZONA_INCERTEZA;0.5412;1.0;-0.4588;VULNERAVEL;lev_only;2026-08-31T23:16:22.376872+00:00
element-hq/synapse;server;python;CVE-2026-45078;3f58bc50dfba5768ee43ce48c5e74c25ba0b078a;tests/handlers/test_worker_lock.py;130;AliAbutorabi/Synapse;2026-08-27T08:56:57Z;False;CORRIGIDO;0.9307;CORRIGIDO;0.9307;0.5081;0.4226;CORRIGIDO;lev_only;2026-08-31T23:16:22.952418+00:00
element-hq/synapse;server;python;CVE-2025-61672;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;150;guillemo12/synapse;2026-08-30T13:36:10Z;False;CORRIGIDO;0.861;CORRIGIDO;0.861;0.7268;0.1342;CORRIGIDO;lev_only;2026-08-31T23:16:26.133495+00:00
element-hq/synapse;server;python;CVE-2025-61672;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;150;Buzzlabs/synapse;2026-08-27T14:55:31Z;False;CORRIGIDO;0.9611;CORRIGIDO;0.9611;0.7926;0.1685;CORRIGIDO;lev_only;2026-08-31T23:16:26.766987+00:00
element-hq/synapse;server;python;CVE-2025-61672;26aaaf9e48fff80cf67a20c691c75d670034b3c1;synapse/rest/client/keys.py;150;AliAbutorabi/Synapse;2026-08-27T08:56:57Z;False;CORRIGIDO;0.861;CORRIGIDO;0.861;0.7268;0.1342;CORRIGIDO;lev_only;2026-08-31T23:16:27.373234+00:00
element-hq/synapse;server;python;CVE-2025-61672;26aaaf9e48fff80cf67a20c691c75d670034b3c1;tests/rest/client/test_keys.py;121;guillemo12/synapse;2026-08-30T13:36:10Z;False;CORRIGIDO;0.6061;ZONA_INCERTEZA;0.6061;0.483;0.1231;CORRIGIDO;lev_only;2026-08-31T23:16:29.143611+00:00
