github_owner;github_repo;cpe_wfn_pattern;dependency
element-hq;element-android;cpe:2.3:a:element:element:1.6.48:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.46:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.44:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.42:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.40:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.38:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.38:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.36:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.34:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.32:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.28:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.26:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.24:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.23:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.22:*:*:*:*:android:*:*;0
element-hq;element-android;cpe:2.3:a:element:element:1.6.20:*:*:*:*:android:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.32:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.31:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.30:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.29:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.28:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.27:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.26:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.25:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.24:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.23:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.22:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.21:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.20:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.19:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.18:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.17:*:*:*:*:iphone_os:*:*;0
element-hq;element-ios;cpe:2.3:a:element:element:1.11.16:*:*:*:*:iphone_os:*:*;0
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.139.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.138.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.137.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.136.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.135.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.134.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.133.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.132.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.131.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.130.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.129.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.128.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.126.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.125.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.124.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.123.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.122.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.121.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.120.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.119.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.118.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.117.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.116.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.115.0:*:*:*:*:*:*:*;1
element-hq;synapse;cpe:2.3:a:matrix:synapse:1.114.0:*:*:*:*:*:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.17:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.16:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.15:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.14:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.13:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.12:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.11:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.10:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.9:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.8:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.7:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.6:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.5:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.4:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.3:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.2:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.1:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-ios-sdk;cpe:2.3:a:matrix:software_development_kit:0.27.0:*:*:*:*:iphone_os:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.14.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.13.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.12.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.11.1:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.11.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.10.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.9.0:*:*:*:*:*:*:*;1
matrix-org;matrix-rust-sdk;cpe:2.3:a:matrix:matrix-rust-sdk:0.8.0:*:*:*:*:*:*:*;1
